OrderID,CustomerID,ProductName,Brand,Country,OrderDate,UnitPrice,weight_g
REC-861088,6120,Perly,Perly,"Morocco,United States",2024-02-22,13.18,100.0
REC-900952,12550,Prince Goût Chocolat,LU,"Algeria,Belgium,France,French Polynesia,Germany,Guadeloupe,Hungary,Luxembourg,Martinique,Morocco,New Caledonia,Réunion,Spain,Switzerland,United States",2024-11-13,1.5,300.0
REC-595965,6705,Excellence Noir Prodigieux 90% Cacao,"Lindt EXCELLENCE,Lindt","Argelia,Austria,Belgium,Bulgaria,Canadá,República Checa,Finlandia,Francia,Polinesia Francesa,Alemania,Irlanda,Italia,Mauricio,Marruecos,Países Bajos,Noruega,Reunión,Rumania,Singapur,Spain,Suecia,Suiza,Túnez,Reino Unido",2025-02-02,12.99,100.0
REC-942653,8645,Tonik,عربي,Morocco,2024-12-11,14.82,22.0
REC-885998,14430,Sésame,Gerblé,"Belgium,Bulgaria,France,Switzerland",2025-08-21,18.4,230.0
REC-674324,6760,Шоколад 85% какаова маса,J. D. Gross,"Austria,Belgium,Bulgaria,Estonia,Finland,France,Germany,Italy,Lithuania,Slovakia,Slovenia,Spain,United Kingdom",2024-09-08,19.16,125.0
REC-867660,8420,CRISTALINE Eau De Source 0.5L,Cristaline,"Belgium,Côte D'Ivoire,France,Germany,Luxembourg,Mali,Martinique,Russia,Switzerland,United Kingdom",2024-10-10,3.64,350.0
REC-448132,9144,Henry’s,Henry's,Morocco,2024-12-30,17.59,42.0
REC-202400,10397,Milk chocolate bar,Unknown,"Algeria,Cameroon,France,Morocco,Spain",2024-08-04,11.08,150.0
REC-386572,13888,Organic 70% Dark Chocolate Bar,Green & Black's,"France,Irlande,Suède,Royaumeuni",2025-10-15,12.14,90.0
REC-394893,8397,KING COOKIES,Excelo,Morocco,2025-05-25,19.74,150.0
REC-965916,6325,Sable coco Henry s 42g,Unknown,Morocco,2024-07-02,2.64,42.0
REC-735024,8672,Biscuits croquants au coeur onctueux de Nutella®,"nutella,Ferrero","Francia,Alemania,Italia,Marruecos,Portugal,Rumania,Spain,Suiza",2024-12-11,10.57,304.0
REC-866242,13720,Tartine croustillante Authentique,wasa,"France,Italy,Spain,Switzerland,Reunion",2024-12-16,6.25,275.0
REC-167785,6250,Excellence Noir Intense 70% Cacao,Lindt,"Algérie,Belgique,République Tchèque,France,Allemagne,Guadeloupe,Italie,Morocco,La Réunion,Espagne,Suisse",2024-10-26,1.25,100.0
REC-625106,12696,Lightly sea salted crisps,Tyrrell's,"France,Germany,Spain,United Kingdom",2024-09-16,1.84,150.0
REC-399127,6000,Dark chocolate,Green and black,"Belgium,France,United Kingdom,Ireland",2025-09-11,19.17,90.0
REC-506660,10724,Excellence Noir Puissant 85% Cacao,Lindt,"Autriche,Belgique,France,Allemagne,Italie,Morocco,Paysbas,La Réunion,Espagne,Suisse",2024-12-09,14.0,100.0
REC-323330,14542,Fourrés Chocolat Noir,Bjorg,"France,Luxembourg,Switzerland",2024-08-12,22.91,225.0
REC-726018,6965,Extra dark 74% Cocoa,fin CARRÉ,"Belgium,Bulgaria,Czech Republic,Finland,Germany,Netherlands,Poland,Spain",2025-05-26,23.07,100.0
REC-799477,13302,FIBRES,Wasa,"Belgique,France,Guadeloupe,Italie,La Réunion,Espagne,Suisse",2025-03-19,6.57,230.0
REC-169584,14120,Henry’s,Henry’s,Morocco,2024-07-02,4.31,85.0
REC-925173,6135,Momo black,Excelo,Morocco,2024-10-30,22.96,36.0
REC-898017,12257,Tuc Original,"Mondelēz,Tuc","Austria,Belgium,Dinamarca,Estonia,Finlandia,Francia,Alemania,Italia,Luxemburgo,Malta,Marruecos,Países Bajos,Portugal,Spain,Suecia,Suiza",2026-01-19,13.16,100.0
REC-739815,7944,EXTRA FINE DARK CHOCOLATE,"Lindt & Sprüngli,Lindt","Australie,Belgique,Canada,République Tchèque,Danemark,Estonie,France,Allemagne,Hongrie,Irlande,Italie,Liban,Morocco,Paysbas,Portugal,Serbie,Espagne,Suisse,Royaumeuni",2024-03-13,12.4,100.0
REC-992581,8248,Eyoo cover,EXCELO,Morocco,2025-11-16,18.93,52.0
REC-392117,12134,Tartines craquantes au sarrasin imp,"Ekibio,Le pain des Fleurs","Belgium,France,Luxembourg,Netherlands,Senegal,Switzerland",2025-12-09,9.41,160.0
REC-337268,14038,Pomme 🍏 🍎 Noisette🥜,Gerblé,"Belgium,France,French Polynesia,Germany,Guadeloupe,Martinique,Morocco,Réunion,Switzerland",2025-05-31,15.63,230.0
REC-974515,12699,Trios,Aperitivos company,"Spain,Marruecos,Morocco",2026-01-06,24.16,20.0
REC-953482,13960,Edelbitter 70% Cacao,J. D. Gross,De,2025-06-30,5.07,125.0
REC-829185,8153,Pringles Original,Pringles,Italia,2024-10-18,13.16,150.0
REC-212346,13782,Crunchy oats&honey,Nature Valley,"Belgium,Francia,Alemania,Irlanda,Países Bajos,Spain,Suiza,Reino Unido,Belgium",2024-05-25,4.18,42.0
REC-416664,6670,Figue & son,Gerblé,"Belgique,France,Polynésie Française,Martinique,Morocco,La Réunion,Suisse",2024-11-22,17.46,210.0
REC-205333,10008,Bitter Extra Kraftig,"Lindt,Lindt&Sprüngli","Australia,Austria,Belgium,Bulgaria,France,Germany,Italy,Lebanon,Morocco,Romania,Spain,Switzerland,Thailand,United Kingdom",2024-11-27,2.2,50.0
REC-503724,7289,Nestlé Dessert,Nestlé,"Belgium,France,Germany,Réunion,Switzerland",2024-10-21,13.16,205.0
REC-407282,13001,Petit beurre,Bé,Morocco,2024-09-08,9.34,150.0
REC-499346,14145,Pains au lait x10,Pasquier,"Belgique,France,Suisse,Royaumeuni,Étatsunis",2024-04-08,22.82,350.0
REC-668408,14519,Chocolat au lait,Milka,"Algeria,Austria,Bulgaria,France,Germany,Hungary,Italy,Morocco,Poland,Tunisia,United Kingdom",2024-11-01,6.24,100.0
REC-400480,14530,Brioche Tranchée Bio 400g,Unknown,France,2024-11-13,3.2,350.0
REC-936049,8846,King cookies choco,Excelo,Ma,2025-05-12,16.03,150.0
REC-574329,11736,BIO Basmati Reis Vollkorn,"Pueblo Lindo, Nur Nur Natur","Austria,France,Germany,Italy,Switzerland,United Kingdom,United States,Ireland",2024-05-26,7.62,150.0
